problem_id,rating,tags
92220,800,"['greedy', 'math']"
92168,2300,"['combinatorics', 'graphs', 'math', 'shortest paths']"
92166,2000,"['data structures', 'greedy', 'implementation']"
92162,1200,"['brute force', 'constructive algorithms', 'strings']"
92106,1800,"['data structures', 'dfs and similar', 'dp', 'implementation', 'trees']"
92102,900,"['brute force', 'greedy', 'math', 'number theory', 'sortings']"
92051.0,3000,"['dfs and similar', 'dp', 'graphs', 'greedy']"
92050.0,2500,"['dfs and similar', 'graphs', 'greedy']"
92046,1800,"['constructive algorithms', 'interactive', 'trees']"
92044,1300,"['combinatorics', 'dp', 'dsu', 'graphs', 'math']"
92042,1100,"['greedy', 'implementation', 'math']"
91810,2600,"['bitmasks', 'combinatorics', 'dp', 'math', 'probabilities']"
91806,1600,"['constructive algorithms', 'flows', 'graphs', 'greedy', 'math']"
91802,800,"['constructive algorithms', 'implementation']"
91800,800,"['greedy', 'math']"
91740,800,"['constructive algorithms', 'greedy', 'math']"
91684,2300,"['data structures', 'dfs and similar', 'greedy', 'trees']"
91682,1700,"['combinatorics', 'dp', 'math']"
91680,1600,"['dfs and similar', 'divide and conquer', 'dp', 'greedy', 'trees']"
91628,2500,"['binary search', 'data structures', 'divide and conquer', 'dp']"
91626,2400,"['combinatorics', 'dfs and similar', 'implementation', 'math', 'trees']"
91623.0,1900,"['constructive algorithms', 'games']"
91620,800,['bitmasks']
91568,2400,"['combinatorics', 'constructive algorithms', 'math']"
91565.0,1600,"['data structures', 'greedy']"
91562,1400,"['dp', 'math', 'number theory']"
91506,1800,"['dp', 'flows', 'graph matchings', 'greedy']"
91502,900,"['constructive algorithms', 'greedy']"
91500,800,"['math', 'number theory']"
91388,2600,"['combinatorics', 'dp', 'math', 'probabilities']"
91384,1600,"['brute force', 'data structures', 'greedy', 'implementation', 'trees']"
91380,800,['implementation']
91266,2500,"['constructive algorithms', 'data structures', 'dfs and similar', 'dp', 'dsu', 'greedy', 'implementation', 'trees']"
91262,1300,"['constructive algorithms', 'math', 'number theory']"
91212,2200,"['brute force', 'dfs and similar', 'graphs', 'greedy', 'implementation', 'shortest paths']"
91210.0,1600,"['binary search', 'interactive']"
91208,1400,"['greedy', 'math']"
91204,1000,['constructive algorithms']
91200,800,"['brute force', 'implementation']"
91144,1400,"['brute force', 'data structures', 'greedy', 'number theory', 'sortings']"
91142,800,"['dp', 'math']"
91140,800,['math']
91028,2500,"['binary search', 'data structures', 'implementation', 'two pointers']"
91024,1400,"['constructive algorithms', 'dfs and similar', 'greedy', 'implementation']"
91020,800,"['greedy', 'math']"
90968,2500,"['combinatorics', 'dp', 'math']"
90964,1700,"['bitmasks', 'constructive algorithms', 'dp', 'math']"
90960,800,['greedy']
90910,2600,"['constructive algorithms', 'dfs and similar', 'dsu', 'graphs', 'greedy', 'trees']"
90908,2200,"['combinatorics', 'dp', 'math']"
90904,1400,"['constructive algorithms', 'data structures', 'greedy']"
90900,800,"['constructive algorithms', 'greedy', 'math']"
90846,2000,"['binary search', 'data structures', 'greedy', 'implementation', 'sortings']"
90844,1600,"['greedy', 'number theory']"
90842,1200,"['bitmasks', 'combinatorics', 'math']"
90840,800,"['math', 'number theory']"
90788,2300,"['combinatorics', 'constructive algorithms', 'math', 'sortings']"
90784,1600,"['dp', 'matrices']"
90780,800,"['constructive algorithms', 'implementation']"
90730,1900,"['brute force', 'dp', 'greedy', 'implementation']"
90726,1200,"['constructive algorithms', 'data structures', 'greedy']"
90722,800,['implementation']
90668,2100,"['combinatorics', 'dp', 'greedy', 'math']"
90664,1100,"['brute force', 'data structures', 'implementation', 'trees']"
90660,800,['greedy']
90614,3200,['dp']
90612,2100,[]
90606,2100,"['dp', 'math', 'number theory']"
90602,2600,"['flows', 'graph matchings', 'graphs']"
90544,1800,"['dp', 'greedy']"
90542,1100,['greedy']
90486,3000,"['constructive algorithms', 'geometry', 'sortings']"
90482,1800,"['binary search', 'combinatorics', 'constructive algorithms', 'implementation']"
90372,2000,"['brute force', 'data structures', 'dp', 'greedy', 'strings']"
90368,1500,"['constructive algorithms', 'implementation']"
90364,1000,"['brute force', 'implementation', 'strings']"
90362,1100,"['greedy', 'implementation']"
90360,800,['math']
90314,2500,['*special']
90310,2200,"['*special', 'math']"
90306,1800,"['*special', 'number theory']"
90302,1600,"['*special', 'implementation', 'number theory']"
90242,1200,"['constructive algorithms', 'greedy', 'implementation', 'math']"
90186,2600,"['2-sat', 'constructive algorithms', 'data structures', 'greedy', 'sortings', 'two pointers']"
90182,1700,"['constructive algorithms', 'games', 'interactive']"
90062,900,"['dp', 'implementation', 'sortings']"
90060,800,['implementation']
90004,2600,"['bitmasks', 'brute force', 'constructive algorithms', 'greedy', 'two pointers']"
90000,1800,"['brute force', 'hashing', 'implementation', 'math']"
89950,2400,"['combinatorics', 'dfs and similar', 'dp', 'trees']"
89946,2100,"['dp', 'math', 'number theory']"
89942,1000,"['brute force', 'dp', 'greedy', 'implementation']"
89890,2500,"['bitmasks', 'data structures', 'dfs and similar', 'dp', 'games', 'math', 'trees']"
89886,2200,"['dfs and similar', 'dp', 'graphs', 'implementation']"
89882,1300,"['binary search', 'bitmasks', 'data structures', 'greedy']"
89829.0,2500,"['data structures', 'dp', 'greedy', 'math', 'number theory', 'two pointers']"
89826,2500,"['bitmasks', 'dp', 'graphs', 'number theory']"
89824.0,1200,"['constructive algorithms', 'math']"
89820,800,"['brute force', 'data structures', 'greedy', 'sortings']"
89762,1100,['math']
89706,2600,"['combinatorics', 'dfs and similar', 'graphs', 'math', 'shortest paths', 'trees']"
89702,1900,"['games', 'greedy']"
89646,2300,"['constructive algorithms', 'data structures', 'dfs and similar', 'divide and conquer', 'dsu', 'greedy', 'sortings', 'trees']"
89642,1400,"['bitmasks', 'brute force', 'greedy', 'implementation']"
89590,2600,"['bitmasks', 'interactive', 'number theory']"
89586,2100,"['brute force', 'data structures', 'hashing', 'implementation', 'math', 'number theory', 'sortings', 'two pointers']"
89582,1300,"['brute force', 'implementation']"
89528,2500,"['brute force', 'constructive algorithms', 'dfs and similar', 'greedy', 'implementation']"
89524,1500,"['binary search', 'data structures', 'dp', 'greedy', 'two pointers']"
89522,1100,"['data structures', 'greedy', 'math']"
89520,800,['math']
89470,2700,"['binary search', 'constructive algorithms', 'interactive']"
89466,1800,"['bitmasks', 'constructive algorithms', 'dp', 'greedy', 'math']"
89462,1200,"['brute force', 'math']"
89412,1900,"['binary search', 'data structures', 'math']"
89408,1400,"['binary search', 'data structures', 'greedy']"
89406,1200,"['dfs and similar', 'divide and conquer', 'implementation']"
89402,1000,"['brute force', 'constructive algorithms', 'math']"
89400,800,"['greedy', 'math']"
89292,2500,"['*special', 'data structures', 'greedy', 'number theory']"
89288,2200,"['*special', 'data structures', 'dp']"
89284,1900,"['*special', 'binary search', 'brute force', 'math']"
89280,900,"['*special', 'math']"
89226,1500,"['binary search', 'brute force', 'math', 'number theory']"
89222,1200,"['math', 'number theory']"
89170,2600,"['combinatorics', 'data structures', 'dfs and similar', 'dp', 'trees']"
89166,2100,"['binary search', 'data structures', 'dp']"
89164.0,1600,"['binary search', 'interactive']"
89160,900,"['greedy', 'implementation']"
89108,2500,"['dfs and similar', 'dp', 'greedy', 'trees']"
89104,1700,"['binary search', 'brute force', 'math', 'number theory']"
89102,1200,"['dp', 'implementation', 'math']"
88930,2400,"['graphs', 'shortest paths']"
88928,2100,"['data structures', 'divide and conquer', 'dp']"
88924,1600,"['brute force', 'constructive algorithms', 'greedy', 'implementation']"
88922,1500,"['implementation', 'math']"
88920,800,['math']
88868,2500,"['data structures', 'dp', 'greedy']"
88864,1600,"['brute force', 'constructive algorithms', 'greedy']"
88860,800,"['greedy', 'strings']"
88800,800,"['games', 'greedy', 'strings']"
88743.0,2100,"['constructive algorithms', 'data structures', 'dp', 'greedy', 'implementation']"
88740,1700,"['binary search', 'interactive', 'ternary search']"
88682,1100,"['brute force', 'dp', 'greedy', 'math']"
88626,2800,"['constructive algorithms', 'dfs and similar', 'graphs']"
88622,1900,"['data structures', 'greedy']"
88568,2300,"['bitmasks', 'data structures', 'dfs and similar', 'graphs', 'hashing', 'sortings', 'strings']"
88566,1700,"['dfs and similar', 'dp', 'dsu', 'implementation']"
88564,1600,"['dp', 'graphs', 'greedy']"
88560,1000,"['binary search', 'constructive algorithms', 'greedy', 'math']"
88510,1900,"['2-sat', 'brute force', 'constructive algorithms']"
88506,1800,"['binary search', 'dp', 'sortings', 'two pointers']"
88504,1400,"['combinatorics', 'graphs', 'math']"
88500,900,"['math', 'number theory']"
88448,2500,"['constructive algorithms', 'greedy']"
88446,2200,"['data structures', 'dp', 'greedy', 'math']"
88442,1000,"['binary search', 'constructive algorithms', 'greedy', 'math', 'number theory']"
88440,800,['greedy']
88386,1700,"['data structures', 'dp', 'implementation', 'strings']"
88382,1000,"['brute force', 'math', 'number theory', 'strings']"
88332,2100,"['dfs and similar', 'dp', 'graphs', 'shortest paths']"
88328,1700,"['binary search', 'data structures', 'dp', 'sortings', 'two pointers']"
88324,1100,"['dp', 'graphs']"
88322,800,"['dp', 'greedy', 'math']"
88320,800,"['greedy', 'math']"
88260,900,"['greedy', 'math', 'number theory']"
88204,2500,"['binary search', 'brute force', 'constructive algorithms', 'interactive']"
88200,1300,"['binary search', 'dp', 'greedy', 'sortings', 'two pointers']"
88150,2600,"['binary search', 'data structures', 'greedy']"
88146,1700,"['brute force', 'constructive algorithms', 'math', 'number theory']"
88142,1000,"['dp', 'greedy']"
88106,900,"['greedy', 'implementation']"
88104,2300,"['data structures', 'graphs', 'implementation']"
88100,1600,"['brute force', 'implementation']"
88098,1800,"['dsu', 'graphs', 'greedy']"
88094,2200,"['constructive algorithms', 'greedy', 'math']"
88090,1700,"['geometry', 'hashing', 'number theory']"
88088,800,['greedy']
88084,1400,"['data structures', 'implementation']"
88080,2200,"['data structures', 'dp', 'greedy']"
88028,2500,"['data structures', 'dfs and similar', 'dp', 'trees']"
88026,2200,"['combinatorics', 'dp', 'math']"
88022,1700,"['brute force', 'implementation']"
87972,2600,"['combinatorics', 'divide and conquer', 'hashing', 'math', 'string suffix structures', 'strings']"
87968,1800,"['bitmasks', 'brute force', 'math']"
87964,1300,"['dp', 'greedy', 'strings']"
87962,800,"['dp', 'greedy']"
87788,2400,"['constructive algorithms', 'dfs and similar', 'dsu', 'graphs', 'implementation', 'sortings', 'trees']"
87784,1800,['implementation']
87780,1100,"['binary search', 'math']"
87730,1800,"['binary search', 'data structures', 'greedy']"
87728.0,1500,"['binary search', 'combinatorics', 'math', 'sortings', 'two pointers']"
87726,1400,"['greedy', 'math', 'number theory']"
87722,800,"['dp', 'implementation', 'strings']"
87666,1600,"['binary search', 'brute force', 'data structures', 'divide and conquer', 'implementation', 'sortings']"
87662,1400,"['brute force', 'dp', 'implementation']"
87542,1300,"['dp', 'math']"
87486,3100,"['data structures', 'graphs', 'greedy']"
87482,2000,['dp']
87480,1600,"['math', 'number theory']"
87308,2400,"['brute force', 'constructive algorithms', 'flows', 'geometry', 'greedy', 'implementation', 'math', 'ternary search']"
87304,1100,"['constructive algorithms', 'games', 'math']"
87300,800,"['math', 'number theory']"
87248,2000,"['combinatorics', 'dfs and similar', 'graphs', 'trees']"
87244,1200,"['greedy', 'implementation']"
87242,800,['implementation']
87188,2300,"['binary search', 'dfs and similar', 'dp', 'greedy', 'trees']"
87184,1700,"['greedy', 'implementation']"
87180,800,['implementation']
87126,1600,"['combinatorics', 'dp', 'math']"
87124,800,['greedy']
87120,800,['math']
87069.0,2300,"['bitmasks', 'constructive algorithms', 'interactive', 'math']"
87066,1700,"['games', 'geometry', 'math']"
87062,900,"['dp', 'greedy', 'implementation', 'strings']"
87060,800,"['greedy', 'math']"
87010,2400,"['constructive algorithms', 'greedy']"
87006,1800,"['binary search', 'data structures', 'greedy', 'implementation', 'two pointers']"
87004.0,2100,"['constructive algorithms', 'math']"
87000,800,"['constructive algorithms', 'sortings']"
86822,1000,"['greedy', 'math']"
86767.0,3000,"['data structures', 'greedy', 'two pointers']"
86766.0,2600,"['data structures', 'greedy']"
86764,2100,"['binary search', 'bitmasks', 'data structures', 'divide and conquer', 'dp', 'trees']"
86760,1300,"['constructive algorithms', 'greedy', 'sortings']"
86702,900,"['greedy', 'math']"
86644,2500,"['data structures', 'dfs and similar', 'dsu', 'graphs']"
86640,1500,"['brute force', 'math', 'number theory']"
86584,1400,"['binary search', 'greedy', 'sortings']"
86580,800,"['constructive algorithms', 'math']"
86524,2400,"['dfs and similar', 'graphs', 'greedy', 'shortest paths']"
86522,1800,"['combinatorics', 'data structures', 'dsu', 'greedy', 'implementation']"
86402,900,"['greedy', 'math']"
86400,800,"['implementation', 'math']"
86344,2600,"['binary search', 'data structures', 'divide and conquer', 'greedy', 'implementation']"
86341.0,1900,"['constructive algorithms', 'graphs', 'greedy', 'implementation']"
86286,2200,"['bitmasks', 'constructive algorithms', 'math']"
86282,1000,"['constructive algorithms', 'data structures', 'greedy', 'sortings']"
86232,2600,"['data structures', 'string suffix structures', 'strings', 'trees']"
86228,2200,"['binary search', 'constructive algorithms', 'data structures', 'dp', 'implementation']"
86224,1800,"['dp', 'flows', 'graph matchings', 'greedy', 'math', 'sortings']"
86220,800,"['brute force', 'constructive algorithms', 'greedy', 'math']"
86168,2400,"['binary search', 'data structures', 'two pointers']"
86166,1900,"['binary search', 'dfs and similar', 'graphs', 'greedy', 'trees']"
86164,1500,"['binary search', 'combinatorics']"
86160,800,['math']
85992,2100,"['brute force', 'graphs', 'shortest paths']"
85990,2100,['dp']
85988,1300,"['combinatorics', 'math']"
85984,900,"['constructive algorithms', 'greedy']"
85982,800,"['greedy', 'implementation']"
85980,800,"['implementation', 'math']"
85872,2100,"['*special', 'dp', 'games', 'greedy']"
85868,2000,['*special']
85864,1600,"['*special', 'implementation']"
85860,800,['*special']
85810,2600,"['dp', 'greedy']"
85806,1700,"['binary search', 'data structures', 'greedy', 'two pointers']"
85802,800,"['greedy', 'implementation', 'sortings']"
85692.0,2900,"['dp', 'greedy']"
85688,2200,"['binary search', 'data structures', 'greedy', 'math', 'sortings']"
85684,1100,"['brute force', 'data structures', 'greedy', 'strings']"
85682,1200,"['graphs', 'implementation']"
85680,800,['math']
85628,2500,"['bitmasks', 'constructive algorithms', 'math', 'matrices', 'number theory']"
85624,2000,['dp']
85620,900,"['math', 'sortings']"
85568,1800,"['brute force', 'constructive algorithms', 'flows', 'greedy', 'math']"
85564,1100,"['binary search', 'constructive algorithms', 'math']"
85562,900,['implementation']
85560,800,"['implementation', 'math']"
85514,1300,['constructive algorithms']
85508,2200,"['greedy', 'implementation']"
85506,2300,"['combinatorics', 'dp', 'math']"
85502,2600,"['divide and conquer', 'dp']"
85464,2200,"['graphs', 'sortings']"
85402,2600,['meet-in-the-middle']
85398,2400,"['bitmasks', 'constructive algorithms', 'dp', 'math']"
85394,2500,"['data structures', 'divide and conquer', 'dsu', 'graphs']"
85386,3100,[]
85382,1900,"['binary search', 'flows', 'graph matchings', 'graphs']"
85326,2300,"['graphs', 'shortest paths', 'sortings']"
85324,1700,"['combinatorics', 'dp', 'math']"
85322,1300,"['greedy', 'implementation', 'math']"
85264,1400,"['constructive algorithms', 'strings']"
85260,800,"['bitmasks', 'greedy', 'math']"
85208,2500,"['dp', 'greedy']"
85205.0,2100,"['data structures', 'divide and conquer', 'dp', 'greedy', 'implementation']"
85202,1200,"['bitmasks', 'math']"
85147.0,1500,"['binary search', 'brute force', 'constructive algorithms', 'greedy', 'sortings', 'two pointers']"
85144,1500,"['greedy', 'implementation', 'math']"
85140,900,"['games', 'greedy', 'implementation']"
85086,2100,"['data structures', 'implementation']"
85082,1300,"['greedy', 'sortings']"
85080,1000,['math']
85020,800,"['greedy', 'math']"
84966,2600,"['data structures', 'dsu', 'graphs', 'implementation', 'trees']"
84962,2000,"['constructive algorithms', 'greedy', 'math']"
84906,2000,"['bitmasks', 'brute force', 'constructive algorithms']"
84902,1100,"['brute force', 'brute force', 'greedy']"
84786,1700,"['data structures', 'greedy', 'implementation']"
84782,1100,['implementation']
84668,2300,"['bitmasks', 'greedy', 'math', 'strings']"
84664,1700,"['dfs and similar', 'dsu', 'graphs']"
84660,800,['implementation']
84548,1800,"['binary search', 'dp', 'sortings', 'two pointers']"
84546,1500,"['greedy', 'math']"
84542,1100,"['brute force', 'greedy', 'math']"
84540,800,"['greedy', 'math']"
84490,2300,"['constructive algorithms', 'divide and conquer']"
84486,2000,"['binary search', 'brute force', 'data structures', 'dp', 'implementation', 'sortings', 'two pointers']"
84482,1400,"['constructive algorithms', 'greedy', 'math']"
84428,2500,"['constructive algorithms', 'dfs and similar', 'dp', 'graphs', 'greedy', 'shortest paths']"
84426,2200,"['data structures', 'dp', 'graphs']"
84422,1300,"['brute force', 'greedy', 'math', 'number theory']"
84368,2600,"['interactive', 'math', 'number theory']"
84364,1700,"['constructive algorithms', 'dfs and similar', 'graphs', 'trees']"
84360,900,"['greedy', 'implementation', 'math']"
84300,800,['constructive algorithms']
84242,1900,"['dfs and similar', 'dp', 'games', 'trees']"
84180,2400,"['*special', '2-sat', 'binary search', 'data structures', 'graphs', 'interactive', 'sortings', 'two pointers']"
84070,2400,"['binary search', 'bitmasks', 'data structures']"
84066,1800,"['dfs and similar', 'dp', 'greedy', 'implementation', 'math', 'number theory', 'sortings', 'trees']"
84062,1100,"['constructive algorithms', 'greedy', 'math']"
84012,2600,"['bitmasks', 'brute force', 'combinatorics', 'dp', 'dsu', 'math', 'two pointers']"
84008,2200,"['data structures', 'divide and conquer', 'dp', 'greedy']"
84004,1500,"['2-sat', 'brute force', 'constructive algorithms', 'greedy']"
84000,800,"['constructive algorithms', 'strings']"
83949.0,2200,"['binary search', 'dfs and similar', 'greedy', 'sortings', 'trees', 'two pointers']"
83948.0,2000,"['data structures', 'dfs and similar', 'greedy', 'trees']"
83944,1200,"['brute force', 'greedy', 'two pointers']"
83942,800,['greedy']
83892,2600,"['bitmasks', 'fft', 'math', 'number theory']"
83888,2200,"['binary search', 'data structures', 'greedy', 'implementation', 'math', 'sortings']"
83884,1600,"['data structures', 'dp', 'math']"
83880,800,"['geometry', 'math']"
83820,800,"['greedy', 'strings']"
83764,2300,"['dp', 'greedy', 'implementation']"
83760,1600,"['constructive algorithms', 'greedy', 'number theory']"
83702,1100,['constructive algorithms']
83644,2600,"['binary search', 'geometry', 'ternary search']"
83640,1800,"['dp', 'greedy', 'sortings', 'two pointers']"
83584,1700,"['constructive algorithms', 'greedy', 'math', 'sortings']"
83580,800,"['greedy', 'math']"
83530,2400,"['binary search', 'constructive algorithms', 'data structures', 'greedy', 'math']"
83526,1700,"['dp', 'greedy']"
83524,1200,"['greedy', 'implementation']"
83522,800,"['implementation', 'math']"
83520,800,"['greedy', 'math']"
83466,2000,"['bitmasks', 'brute force', 'constructive algorithms', 'dp', 'greedy', 'implementation']"
83464,1500,"['combinatorics', 'dp', 'graphs', 'math']"
83460,800,"['constructive algorithms', 'math']"
83350,2600,"['data structures', 'dp', 'graph matchings', 'sortings']"
83348,2200,"['math', 'number theory']"
83344,1500,"['brute force', 'dp', 'greedy', 'two pointers']"
83340,800,"['constructive algorithms', 'greedy', 'math', 'number theory']"
83286,2000,"['data structures', 'dfs and similar', 'graphs', 'greedy', 'implementation', 'trees']"
83284,1800,"['dfs and similar', 'greedy', 'math', 'trees']"
83282,1000,"['greedy', 'math']"
83222.0,2100,"['*special', 'dp', 'greedy', 'trees']"
83160,2700,"['*special', 'binary search', 'constructive algorithms', 'interactive']"
83112,2300,"['2-sat', 'dfs and similar', 'dsu', 'graphs', 'implementation']"
83110,2300,"['data structures', 'greedy', 'implementation', 'trees']"
83106,1500,"['bitmasks', 'brute force', 'divide and conquer', 'dp', 'implementation']"
83104,1200,['greedy']
83102,800,['greedy']
83100,800,['math']
83042.0,1900,"['brute force', 'dp', 'greedy']"
82986,2800,"['brute force', 'constructive algorithms', 'graphs', 'greedy', 'sortings']"
